instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text_7.started,text_7.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,welcome_2.started,welcome_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,image_14.started,image_14.stopped,text_24.started,text_24.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,text_25.started,text_25.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,image_15.started,image_15.stopped,text_26.started,text_26.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_17.started,text_17.stopped,image_10.started,image_10.stopped,text_19.started,text_19.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_12.started,image_12.stopped,text_20.started,text_20.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_13.started,image_13.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,15.299337658012519,None,space,2.7344413140090182,15.299337658012519,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"In this experiment, you will be assuming the perspectives of various jobs while listening to short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.132941641000798,None,space,5.130725275987061,18.132941641000798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,23.333274938020622,None,space,4.793322271987563,23.333274938020622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,28.150165922997985,None,space,1.0493946530041285,28.150165922997985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,29.250294746016152,None,space,5.2734024850069545,29.250294746016152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"For each short story, you'll be assigned one of these perspectives to assume while you listen to it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58390838300693,None,space,5.472248530015349,34.58390838300693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.773496853013057,40.08440691101714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.08440691101714,None,40.08440691101714,None,space,9.895660634007072,45.88481949802372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.88481949802372,None,space,11.873128655017354,55.8021725610015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
The 4 questions for each perspective are learned with quizzes in this first part of the experiment. ,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,67.75305538100656,None,space,4.940225377999013,67.75305538100656,None,,,,,,,,,,,,,,,,,,,55.8021725610015,None,55.8021725610015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
2,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,72.71991461800644,None,space,1.06780918998993,72.71991461800644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"In the second part of the experiment, you will listen to 8 short stories. ",,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,73.85338293100358,None,space,2.9391455849981867,73.85338293100358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.62656430498464,76.82023865301744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
You will hear each sentence of the story played individually.,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,85.52085024100961,None,space,3.100760330009507,85.52085024100961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,76.82023865301744,None,76.82023865301744,None,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"The sentence will play fully, and, when the sentence has finished playing, you will press a button to advance to the next sentence. ",,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,88.70443150799838,None,space,6.766163157008123,88.70443150799838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"Before listening to each story, you will be assigned one of the eight perspectives to take on while listening to it. ",,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,95.52165415300988,None,space,7.0384195699880365,95.52165415300988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
You'll be given a quiz before the story on the 4 questions associated with the assigned perspective. ,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,102.62201757801813,None,space,6.560022304998711,102.62201757801813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
You must pass this quiz to move onto the story. ,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,109.23919696299708,None,space,4.645346118020825,109.23919696299708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
3,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,113.92279578300077,None,space,0.9505548469896894,113.92279578300077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.90621927799657,None,space,7.405759180022869,114.90621927799657,None,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
