count,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,testing,story time,text_45.started,text_45.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_70.started,text_70.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_41.started,text_41.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_71.started,text_71.stopped,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_36.started,text_36.stopped,participant,s1,s2,l1,l2,story_listening,play_stories,behavioral,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[11 24 31 13 44 22 42 33],[3 1 2 1 4 3 2 4],[41 12 32 21 23 43 14 34],[2 3 2 3 1 4 1 4],89888,2.3228930269833654,19.97856857208535,None,space,0.9078793919179589,19.97856857208535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.913058939157054,None,21.912120619090274,None,5,1.0578390851151198,21.912120619090274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.836042843060568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
1,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.04593985900283,None,space,2.123876095050946,23.04593985900283,None,23.04593985900283,None,23.04593985900283,None,2.2031526169739664,6.71577372495085,25.46213202411309,None,25.46213202411309,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/mi_fmri_ebs_wav/recall_audio-1578414387.463.wav,0.0028975687455385923,None,space,4.2208966868929565,25.46213202411309,None,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
2,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7302093191538,None,space,1.0436248518526554,29.7302093191538,None,29.7302093191538,None,29.7302093191538,None,7.801013841992244,12.26621001609601,30.864416887052357,None,30.864416887052357,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/mi_fmri_ebs_wav/recall_audio-1578414392.865.wav,0.0012688208371400833,None,space,4.366140444995835,30.864416887052357,None,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
3,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.28053213399835,None,space,1.439595887903124,35.28053213399835,None,35.28053213399835,None,35.28053213399835,None,13.751710924087092,15.699634097050875,36.813413699157536,None,36.813413699157536,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/mi_fmri_ebs_wav/recall_audio-1578414398.814.wav,0.013003360480070114,None,space,1.8647679551504552,36.813413699157536,None,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
3,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
4,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.71364489221014,None,space,1.6504356150981039,38.71364489221014,None,38.71364489221014,None,38.71364489221014,None,17.403567967005074,21.20154272695072,40.463999674189836,None,40.463999674189836,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/mi_fmri_ebs_wav/recall_audio-1578414402.465.wav,0.006701156729832292,None,space,3.7032298448029906,40.463999674189836,None,,,,,,,,,,,,,,,,mi,0,1,0,1,0,0,0,2020_Jan_07_1126,fmri_ebs,3.2.1,59.86543377390042,
