instructions,count,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_23.thisRepN,trials_23.thisTrialN,trials_23.thisN,trials_23.thisIndex,story_list_block1,action_list_block1,key_resp_5.keys,key_resp_5.rt,key_resp_31.keys,key_resp_31.rt,key_resp_21.keys,key_resp_21.rt,key_resp_36.keys,key_resp_36.rt,key_resp_32.keys,key_resp_32.rt,key_resp_33.keys,key_resp_33.rt,key_resp_34.keys,key_resp_34.rt,key_resp_35.keys,key_resp_35.rt,key_resp_37.keys,key_resp_37.rt,getTrigger.keys,getTrigger.rt,triggerTime,startWait,endWait,key_resp_8.keys,key_resp_8.rt,key_resp_14.keys,key_resp_14.rt,clip_StartTime,key_resp_28.keys,key_resp_28.rt,clip_EndTime,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,frameRate,
Welcome to the story listening part of the experiment. ,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[32 43 23 12 14 34 41 21],[4 2 3 1 1 4 2 3],space,0.4767536170000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"As a reminder, you will listen to 12 short stories.",,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20112734399998544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
These stories will be divided into 2 blocks of 6 stories.,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11853814599999168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"Before some of the stories, we will ask you to take on the perspective of a job. ",,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15023023999998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
Please “simulate” this job while you listen to the story that follows.,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2693263880000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"Before you begin, we will go over how to use the button box:",,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7859124590000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"In this experiment, you'll use the first three fingers on each hand to do the quizzes and advance through the experiment. ",,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36851072599998247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6676560010000117,space,0.4186322799999971,space,0.4852249120000067,space,0.4515147630000058,space,0.2847308519999956,space,0.15116418799999565,space,0.15263746300001912,space,0.11827103700002795,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,equal,1.1693775980000112,6.632540871000003,8.888999985856572e-06,6.000335065999991,space,0.43413144499999134,space,0.35070601900002885,6.872361205999994,space,0.33974024100001543,7.234956115999978,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.235034639999981,13.235327460999997,,,,,,,,,,,,,,,,,,,,,,
instructions,count,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_23.thisRepN,trials_23.thisTrialN,trials_23.thisN,trials_23.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,story_list_block1,action_list_block1,key_resp_5.keys,key_resp_5.rt,key_resp_31.keys,key_resp_31.rt,key_resp_21.keys,key_resp_21.rt,key_resp_36.keys,key_resp_36.rt,key_resp_32.keys,key_resp_32.rt,key_resp_33.keys,key_resp_33.rt,key_resp_34.keys,key_resp_34.rt,key_resp_35.keys,key_resp_35.rt,key_resp_37.keys,key_resp_37.rt,getTrigger.keys,getTrigger.rt,triggerTime,startWait,endWait,key_resp_8.keys,key_resp_8.rt,key_resp_14.keys,key_resp_14.rt,clip_StartTime,key_resp_28.keys,key_resp_28.rt,clip_EndTime,key_resp_30.keys,key_resp_30.rt,key_resp_22.keys,key_resp_22.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,frameRate,
Welcome to the story listening part of the experiment. ,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[32 43 23 12 14 34 41 21],[4 2 3 1 1 4 2 3],space,0.4767536170000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"As a reminder, you will listen to 12 short stories.",,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20112734399998544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
These stories will be divided into 2 blocks of 6 stories.,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11853814599999168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"Before some of the stories, we will ask you to take on the perspective of a job. ",,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15023023999998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
Please “simulate” this job while you listen to the story that follows.,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2693263880000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"Before you begin, we will go over how to use the button box:",,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7859124590000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
"In this experiment, you'll use the first three fingers on each hand to do the quizzes and advance through the experiment. ",,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36851072599998247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6676560010000117,space,0.4186322799999971,space,0.4852249120000067,space,0.4515147630000058,space,0.2847308519999956,space,0.15116418799999565,space,0.15263746300001912,space,0.11827103700002795,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,equal,1.1693775980000112,6.632540871000003,8.888999985856572e-06,6.000335065999991,space,0.43413144499999134,space,0.35070601900002885,6.872361205999994,space,0.33974024100001543,7.234956115999978,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.235034639999981,13.235327460999997,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,1,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.704240330999994,,,,,,,space,0.38456295600002477,space,0.3883254289999627,space,0.43592074299999695,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,1,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4505173229999855,,,space,1.1058374589999858,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,1,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5501883860000021,47.480239418999986,space,0.5014288060000354,47.99779151399997,,,,,,,,,022420,0,1,0,2,0,0,1,0,4,2020_Feb_26_1654,listening_fmri,60.25419945258611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.99787014499998,53.997673287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
