storyText,locationEvent,socialEvent,,,,
The grocery store was not the place Emmanuella and Liam wanted to be as they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,,,
"But they had to be there, seeing as they were hosting a dinner party for friends that evening and had no groceries. ",1,1,,,,
The grocery store was dimly lit and had dark wood paneling for the shelves.,1,1,,,,
"The store specialized in organic produce and products catering to desires for high-end products, such as imported cheeses and sauces. ",1,1,,,,
"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,,,,
Emmanuella selected a few pasta boxes of linguine.,2,1,,,,
"“I guess we are having pasta tonight,” Liam said.",2,1,,,,
"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,,,,
"Liam sighed, “You don’t want me to help.",2,1,,,,
" I try to, but it seems like I always get in the way!” ",2,1,,,,
"Emmanuella angrily threw the pasta into the cart, losing her temper.",2,1,,,,
" “Liam, I don’t think I can do this anymore. ",2,2,,,,
" I was going to wait until after this dinner party tonight to talk about this, but I don’t want to be in a relationship with you anymore.",2,2,,,,
" I’m tired of the constant fighting, and I feel like when we try to do anything fun it ends up unpleasant for stupidest reasons, and I am just past  trying to work things out.”",2,2,,,,
"Liam refused to look at her as she picked out sauces for the pasta, and then she threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,,,,
They headed to the checkout area where there were only two stations open but they were not crowded at all.,3,2,,,,
" Emmanuella sighed and got in line, while Liam pretended to be interested in the magazine racks in order to avoid her gaze. ",3,2,,,,
" Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,,,,
"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,,,,
" Liam scoffed, and walked off to quickly get it.",3,3,,,,
"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,,,,
" Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,,,,
"The cost came to $30, and Emmanuella paid with her credit card.",4,3,,,,
"She asked Liam politely to take the bags, and he obliged, following her to toward the exit. ",4,3,,,,
"“Liam, I think we are making the right decision.",4,4,,,,
This is good.” ,4,4,,,,
"“I agree,” he said, visibly relieved at the thought that they had gotten through the last fight they would ever need to have.",4,4,,,,
"“I think we can still host this dinner tonight, as long as you're still on board,” Emmanuella said.",4,4,,,,
"Liam nodded, “Yes, let’s just not tell anyone yet.” ",4,4,,,,
"Emmanuella laughed, “If one of it leaks it, they lose their rights to the cat.”",4,4,,,,
"Liam rolled his eyes, but managed a weak chuckle.
",4,4,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
