count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[34 43 32 41 23 14 12 21],[4 4 2 2 1 1 3 3],17.19475034200059,None,space,4.837370747000023,17.19475034200059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,22.06297689600069,None,equal,20.82671343600032,22.06297689600069,None,25.711933906000013,22.06297689600069,None,22.06297689600069,None,0.00034839199997804826,42.913420952000706,None,5.999326547999772,48.92838641800063,None,6,1.6361502390000169,48.92838641800063,None,48.92838641800063,None,48.92838641800063,None,7.683774150999852,111.64868824200039,50.67829661500036,None,50.67829661500036,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/021020_bk2_recall_fmri_wav/recall_audio_2-1581363922.657.wav,0.008033447999878263,None,6,103.86339137499999,50.67829661500036,None,50.67829661500036,None,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.65166643700013,154.56390732399996,None,117.64962467300029,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5635422760006,None,6,2.7871730429997115,160.5635422760006,None,160.5635422760006,None,160.5635422760006,None,120.4666592929998,197.49974502399982,163.39241361200038,None,163.39241361200038,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/021020_bk2_recall_fmri_wav/recall_audio_2-1581364035.386.wav,0.011414069399506843,None,6,76.995219378,163.39241361200038,None,163.39241361200038,None,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5034225290001,240.41424938,None,203.51086515800034,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4251316460004,None,6,2.59542340400003,246.4251316460004,None,246.4251316460004,None,246.4251316460004,None,206.16101335599978,333.89954051899986,249.09617633800008,None,249.09617633800008,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/021020_bk2_recall_fmri_wav/recall_audio_2-1581364121.081.wav,0.010558339399722172,None,6,127.68952480699954,249.09617633800008,None,249.09617633800008,None,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.90288347800015,376.81408895000004,None,339.89992759100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.82399236900073,None,6,3.4757011540004896,382.82399236900073,None,382.82399236900073,None,382.82399236900073,None,343.41029926900046,457.08321619100025,386.3399375000008,None,386.3399375000008,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/021020_bk2_recall_fmri_wav/recall_audio_2-1581364258.328.wav,0.012620724399312166,None,6,113.63968536799985,386.3399375000008,None,386.3399375000008,None,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.0879340350002,499.99738568000066,None,463.0904672890001,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0055104380008,None,6,2.6221914339994328,506.0055104380008,None,506.0055104380008,None,506.0055104380008,None,465.7343908720004,548.582747986,508.6640942870008,None,508.6640942870008,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/021020_bk2_recall_fmri_wav/recall_audio_2-1581364380.652.wav,0.013346927399652486,None,6,82.80264822400022,508.6640942870008,None,508.6640942870008,None,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
