storyText,locationEvent,socialEvent,,,,
"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,,,
"Upon arriving, they had only 45 minutes until their international flight would depart from Jamaica for the US.",1,1,,,,
It had been a tough vacation for them.,1,1,,,,
"Jessie had really had it with Calvin’s constant ramblings about the same excruciatingly boring golfing and work stories, which he insisted on repeating to her regardless of how little interest she showed.",1,1,,,,
"Calvin knew that Jessie was upset, but wasn't sure what to do besides attempting to carry on as normal and tell stories that took up the silence. ",1,1,,,,
"The security line was luckily very short, and once the online boarding passes were scanned they were ushered quickly through the metal detector, not having to take off their shoes or remove the liquids from their bags.",2,1,,,,
"“The infrastructure of this airport is really quite poor,"" said Calvin as they waited for their bags to emerge from the x-ray machine.",2,1,,,,
“I really could've hidden something in my shoes quite easily.” ,2,1,,,,
"Jessie, exasperated at his need to broadcast his every inner thought, scowled at the conveyor belt.",2,1,,,,
"“What?”, he asked.",2,1,,,,
She balled up her fists and turned to face him.,2,1,,,,
"“Calvin, I really don’t think I can do this anymore.",2,2,,,,
I think it’s best that once we get to the States we part ways for good.” ,2,2,,,,
Calvin said nothing as he grabbed his bag and quickly walked away.,2,2,,,,
"Jessie trailed behind him as they made their way quickly toward their gate, shouting at his back in hopes of getting a response.",3,2,,,,
“So now you have nothing to say?,3,2,,,,
"Every time we talk, you are just looking for a way to steer the conversation back into your stories.”",3,2,,,,
"Calvin didn't slow his pace, gritting his teeth and staring straight ahead. ",3,2,,,,
He was very frustrated that he had been trying to appease Jessie this whole time and this was how she responded. ,3,2,,,,
The silence was punctuated only by the rapid rhythmic clacking of their suitcase wheels over the tile floor as they continued power-walking through the terminal. ,3,2,,,,
"“Well?” Jessie said, and Calvin finally turned to her.",3,2,,,,
"“Well, Jessie, this makes perfect sense. ",3,3,,,,
"If you feel this way, then I don’t want to keep boring you, and I agree, let’s part ways once we make it back.",3,3,,,,
You should’ve spoken up about my apparent intolerability before you decided to plan this vacation.”,3,3,,,,
"He was clearly hurt, but thought it was pointless to argue. ",3,3,,,,
"They finally made it to the gate, just as they heard the final call for passengers boarding their flight.",3,3,,,,
"They scanned their tickets, and the annoyed flight attendant shooed them onto the jet bridge and then closed the door behind them.",4,3,,,,
"Luckily, they had forgotten to arrange seats next to each other on the flight back.",4,3,,,,
"They both had first-class tickets, but Jessie was headed for seat 1B while Calvin's seat was 4F. ",4,3,,,,
"Before Jessie sat down, she took a deep breath and then awkwardly shook Calvin’s hand, mumbling, “Well, have a nice flight.” ",4,4,,,,
He laughed in disbelief and walked to his window seat three rows back to get ready for takeoff.,4,4,,,,
Both were upset but glad that they would have this flight to mull things over and recenter. ,4,4,,,,
