count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[42 24 12 34 43 21 13 31 44 22 14 32 41 23 11 33],space,5.004206715966575,,001,2018_Dec_11_1108,body,59.7695984808949,
1,0,1,1,1,,space,2.249481104023289,,001,2018_Dec_11_1108,body,59.7695984808949,
2,0,2,2,2,,space,0.5190831290092319,,001,2018_Dec_11_1108,body,59.7695984808949,
3,0,3,3,3,,space,0.3856679400196299,,001,2018_Dec_11_1108,body,59.7695984808949,
4,0,4,4,4,,space,0.4339632529881783,,001,2018_Dec_11_1108,body,59.7695984808949,
5,0,5,5,5,,space,0.3681110959732905,,001,2018_Dec_11_1108,body,59.7695984808949,
6,0,6,6,6,,space,0.3521531449514441,,001,2018_Dec_11_1108,body,59.7695984808949,
7,0,7,7,7,,space,0.30159361398546025,,001,2018_Dec_11_1108,body,59.7695984808949,
8,0,8,8,8,,space,0.5359775319811888,,001,2018_Dec_11_1108,body,59.7695984808949,
9,0,9,9,9,,space,0.268152253003791,,001,2018_Dec_11_1108,body,59.7695984808949,
10,0,10,10,10,,space,0.18401863699546084,,001,2018_Dec_11_1108,body,59.7695984808949,
11,0,11,11,11,,space,0.33504209195962176,,001,2018_Dec_11_1108,body,59.7695984808949,
12,0,12,12,12,,space,0.21803761000046507,,001,2018_Dec_11_1108,body,59.7695984808949,
13,0,13,13,13,,space,0.30174493504455313,,001,2018_Dec_11_1108,body,59.7695984808949,
14,0,14,14,14,,space,0.18454476300394163,,001,2018_Dec_11_1108,body,59.7695984808949,
15,0,15,15,15,,space,0.3184320660075173,,001,2018_Dec_11_1108,body,59.7695984808949,
