instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.5225013229937758,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.4861121219873894,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
This job will be assigned to you before each story. ,None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.6183612009917852,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,1.0015728319995105,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
There are 8 possible jobs you could be asked to simulate.,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.9520576759823598,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
These jobs are as follows:,None,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.618557460984448,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,space,0.9543730030127335,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,space,0.8513701430056244,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,space,0.801572764001321,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,space,0.7027882930124179,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,space,1.100916978000896,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,space,2.1669739199860487,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,space,0.6327008960070089,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,space,0.9193494319915771,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,1.8330472270026803,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
There are four question per job.,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.7669044380018022,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,2.7197533799917437,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,1.8163554670172743,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,3.5872574819950387,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,2.784771217004163,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,3.102907508990029,,,,,,,,,,,,001,2018_Nov_12_1323,part1,59.985588939113114,
,,business_reporter.jpg,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,space,1.2692548600025475,space,0.682842003996484,space,0.6025690019887406,space,0.5342204790213145,,001,2018_Nov_12_1323,part1,59.985588939113114,
