count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[31 41 12 13 22 34 23 44 21 32 42 43 33 24 11 14],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Social' 'Location']",[21 32 42 43 33 24 11 14],"['Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Social'
 'Location']",space,0.23751771700017343,None,space,0.5033833699999377,,,,,,,,,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
0,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,0.720428345000073,None,,,,,,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6695591840002635,,,,,,,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.876821395999741,space,1.4525251719996959,,,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.2526946970001518,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.20298958700004732,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.15272269200022492,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.1691843720000179,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.16671321200010425,,,',001,2019_Feb_18_1741,body_behavioural,3.0.3,59.981686511392404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4352555159998701,,,,,,,
