count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,recall,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,21,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[21 23 34 11 42 13 32 44 33 43 22 14 41 12 31 24],"['Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location']",1,0.9532621289836243,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
0,Restaurant Proposal,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.08490132202859968,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
1,23,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.30206791998352855,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
1,Grocery shopping Proposal,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.18530424102209508,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.36752068100031465,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.30149635788984597,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.1515647319611162,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.16885595896746963,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.1852568759350106,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.5009971499675885,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.3863995660794899,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.7681728140451014,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.5523848509183154,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.5351211900124326,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.5671144069638103,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.6183674019994214,U,J,B,U,U,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,0.5514775039628148,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,0.5679226079955697,J,J,Jh,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,space,0.8519018080551177,J,Jk,J,,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
8,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,space,0.667888488038443,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
9,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,space,0.6184443859383464,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
10,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,space,0.70098433108069,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
11,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,space,0.43572233500890434,,J,,Jj,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
12,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,space,0.7361642990726978,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
13,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,space,0.551154820015654,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
14,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,space,0.685902505996637,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
15,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,space,0.5345969159388915,J,J,J,J,J,,001,2019_Jan_15_1217,body_behavioural,59.89483700189074,
