count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,14,,0,0,0,0,0,0,0,0,,,,,,,,,[14 31 23 42 41 32 24 13 11 43 44 34 22 33 12 21],"['Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location']",1,1.9349573159124702,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
0,Attending a Lecture Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0.20187125296797603,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,0.5848014110233635,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,0.15208196290768683,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,0.20204613800160587,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,0.06882788997609168,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,0.5187037669820711,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,777,001,2019_Jan_10_1355,body_behavioural,59.9940424554266,
