instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,space,0.3866317080000954,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,space,0.7692384000001766,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,space,0.41942020500027866,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,space,0.33655525500034855,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,space,0.45299322299979394,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,space,0.3866777570001432,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,space,0.5361527919999389,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,space,0.33618397999998706,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.4533629379998274,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.36991631999990204,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
"Then, you’ll indicate the order in which you saw the questions during the quiz by pressing the number in front of the question. ",,,,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.3367689070000779,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.28649398199968346,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.3006964850001168,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.2865261150000151,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/couples.jpeg,,,"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,0,0,0,7,0,0,0,0,,,,,,,,,,,,,,,space,0.7703480749996743,space,0.4364911419997952,space,0.3364978820000033,space,0.25028266299977986,space,0.18637589999980264,space,0.4028818249998949,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
,,jobphotos/couples.jpeg,,,"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1158,part1_subjective_segmentation,3.0.4,59.916462071970386,
