count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[32 14 41 11 44 22 23 33 43 31 42 21 34 13 24 12],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Location']",[43 31 42 21 34 13 24 12],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location']",space,1.2531633479520679,None,space,0.5862251979997382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
0,"Jeff, hoping that today would be a pivotal day for his company, had only been waiting inside the entrance of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,32.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.636098125949502,space,0.7526411520084366,None,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.606317519908771,space,0.2027432860340923,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5006375600351021,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1865489879855886,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15252035902813077,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33646613999735564,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10246443399228156,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16869466204661876,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2194121020147577,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
1,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.985949520953,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.277191742905416,space,1.6861453240271658,,,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6031005169497803,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.47021611989475787,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43597667990252376,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4363048119703308,,,,,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.519297325052321,Lklklklklklklkklk,primed first,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.9697049780515954,,non-primed first,,,,,,,,',001,2019_Jun_16_1956,body_behavioural,3.0.4,59.92095201303049,
