count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
0,41,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[41 21 23 43 14 12 32 34 11 31 33 22 24 44 42 13],"['Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Location']",1,0.3524253818904981,,,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
0,Restaurant Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.8353773140115663,,,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.7022370409686118,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.16866224689874798,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.14995669608470052,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.31860980903729796,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.7694677920080721,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Ksjflksjlfkajslk kjsj kl,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Ksjflksj fksj ,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,0.9017655879724771,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,1.7863073160406202,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Slkdjf ksdj ,,,space,2.951502413023263,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,Skfjlskdj,,,space,2.385960547020659,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,space,2.370388163952157,999,001,2019_Jan_10_1449,body_behavioural,59.605860166661266,
