count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[33 14 12 44 23 31 42 21 22 11 24 41 13 32 34 43],"['Social' 'Social' 'Location' 'Location' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Location']",[22 11 24 41 13 32 34 43],"['Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location']",space,0.43694375299992316,space,0.3688900840002134,space,1.1859226640003726,,,,,,,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
0,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.5854919410003276,None,,,,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20236521900005755,,,,,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.7695576779997282,None,,space,0.13634928300007232,,,,,,,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
1,"Maria walked into lecture beside Henry, and she was mentally rehearsing what she should say to break up with him.",1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.602085291000094,None,,,,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2855760150000606,,,,,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.129699154999798,space,1.0690289890003442,,,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.18631326700005957,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.1188001720001921,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.1191822629998569,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.13544235300014407,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.28568485200003124,,,',001,2019_Feb_18_1744,body_behavioural,3.0.3,60.01619308918184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5863937750000332,,,,,,,
