count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[12 31 43 41 22 33 14 24 32 34 23 13 42 11 44 21],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social']",[32 34 23 13 42 11 44 21],"['Location' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social']",space,0.2550208839820698,space,0.7223203049506992,space,0.7525662679690868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end the relationship with him.",1,1,12.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2191432740073651,space,0.2861523299943656,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3235424410086125,space,0.40273292700294405,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5360912049654871,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2696153779979795,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1534574549878016,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18610240903217345,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18576873501297086,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3529294019099325,,,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5359249429311603,,,,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.594516957062297,space,0.5691905530402437,,,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36944030702579767,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18569852807559073,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15272378094960004,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3005924050230533,,,,,,,,,,,,,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5361579300370067,Kjlkj,Gfgfgfgfh,non-primed first,Ikjh,Jik,Jk,Jk,Jk,Klj,Kjlkj,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.786308208014816,Klkj , kjl,non-primed first,Jkl,Kjl,Kjj j,Kj kj,Kj kjk,Kjljkl,Klkj ,,001,2019_Jun_16_2000,body_behavioural,3.0.4,60.01730541960723,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6693203690228984,,,,,,,,,,,,,,,,,
