count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[33 12 22 34 21 44 11 43 32 42 23 14 41 31 13 24],"['Location' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location']",[32 42 23 14 41 31 13 24],"['Social' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Location']",space,0.32071240699951886,space,0.2837722220010619,space,0.7504570019991661,,,,,,,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
0,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.758699169000465,space,1.63606690800043,,,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.4528556400000525,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.3690086059996247,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.36929452599906654,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.3195150800002011,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.335699774999739,,,',001,2019_Feb_13_1241,body_behavioural,3.0.3,59.95041561076434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3696115579987236,,,,,,,
