instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.321714092977345,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.20121457998175174,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.13447315094526857,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.15263824304565787,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.4691537340404466,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,matchmaker.jpg,Matchmaker,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,space,0.08384413504973054,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,space,0.13533746299799532,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,dean.jpg,Dean of Academic Studies,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,space,0.285675844992511,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,couples.jpeg,"Couples Therapist
",,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,space,0.13539975800085813,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,weddingplanner.jpg,Wedding Planner,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,space,0.1356367269763723,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,space,0.3200440420769155,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,business_reporter.jpg,Business Reporter,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,space,0.16883538104593754,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,space,0.16833237709943205,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.1688522680196911,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
