instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
Welcome to the Career Perspectives Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30367557099089026,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2850742909940891,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
"Before each story you will be assigned a perspective to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23505143000511453,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3176410910091363,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35071092197904363,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,space,0.4022594440029934,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,space,0.900746034050826,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,space,0.3184110450092703,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,0.30073789501329884,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,space,0.41962116403738037,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,space,0.4018463479587808,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,space,0.38367049396038055,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,space,0.3516915729851462,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.869021385035012,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,1.2013786709867418,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
There will be four questions to answer per story.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.7020128949661739,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,1.252580341999419,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,1.1842956389882602,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,2.7537962819915265,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,space,1.8343683410203084,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
"Once the task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,space,1.5855614650063217,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,space,2.0037532550049946,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,space,1.2344570739660412,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,space,1.2352088339976035,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,space,1.3352425419725478,space,2.052260005963035,space,1.4186325969640166,space,1.7357903849915601,space,3.8846100179944187,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,acem.jpg,,"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,,,,,space,0.8711666369927116,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,acem.jpg,,"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,,,,,,,space,1.8859914380009286,space,2.686059043975547,space,2.836723824031651,space,1.3855530100408942,space,1.8354774849722162,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,acem.jpg,,"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,weddingplanner.jpg,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,,,,,space,0.7508179399883375,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,weddingplanner.jpg,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,,,,,,,space,2.035734554985538,space,0.9676382869947702,space,1.8522163269808516,space,1.3189676360343583,space,1.051019193022512,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,weddingplanner.jpg,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,3,3,5,0,0,0,0,,,,,,,,,,,,,space,1.8674807249917649,,,,,,,,,,,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
,,gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,3,3,5,0,0,0,0,,,,,,,,,,,,,,,space,1.551714719971642,space,1.751235359988641,space,0.8670506220078096,space,1.3683831189991906,space,0.9697024310007691,,,,001,2018_Dec_03_1614,part1,59.88196498625073,
