instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.28643393600941636,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.10162689699791372,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
This job will be assigned to you before each story. ,None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.1350668529921677,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.1193353249982465,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
There are 8 possible jobs you could be asked to simulate.,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.1016412100289017,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
These jobs are as follows:,None,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.1013445430144202,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.06687271702685393,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,space,0.15304333600215614,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,space,0.11839228798635304,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,space,0.1023270620207768,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,space,0.15048141599982046,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,space,0.10114463197533041,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,space,0.1184903739776928,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,space,0.1343863319780212,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,space,0.16676551100681536,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
There are four question per job.,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,space,0.13451800699112937,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,space,0.33460178700624965,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,space,0.15060142500442453,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,space,0.36900542897637933,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,space,0.16772019900963642,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,space,0.33521675900556147,,,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.95262099869211,
