count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[12 31 34 44 13 23 41 22 21 32 33 24 42 14 43 11],"['Location' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location']",[21 32 33 24 42 14 43 11],"['Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location']",space,0.32097659003920853,space,0.38648002909030765,space,0.38625832297839224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end the relationship with him.",1,1,12.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1532109499676153,space,0.21931569697335362,None,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6069635380990803,space,0.9859792269999161,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.42007654800545424,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3196557880146429,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28582048893440515,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31965654296800494,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35280136798974127,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3340265150181949,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3693737559951842,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1958,body_behavioural,3.0.4,60.00224347232719,
