instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.820019855047576,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.220244146999903,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.61779693304561,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
You must pass this quiz to move onto the story. ,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.020068394951522,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
3,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.5508174980059266,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.968292479054071,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.386728768935427,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
4,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.9892478639958426,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.937427887925878,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.017655470059253,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
Questions?,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8343153599416837,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.370466777938418,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.12134547997266,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.055764517048374,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.436822830000892,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.636339660966769,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.336626184987836,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.470246140030213,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.570144952042028,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.270115469000302,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.252863265923224,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,12.321040888084099,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,8.353359278058633,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,7.636467225034721,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,6.2364557010587305,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,8.218078873003833,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,space,8.738598447991535,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,space,3.836362397065386,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,7.7379319129977375,space,16.004084197920747,space,6.086669008014724,space,5.7366505860118195,space,15.587084809085354,space,5.470002604997717,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,5.603574482956901,space,7.053387494990602,space,1.5531924299430102,space,12.02041327196639,space,5.269707100931555,space,1.4192654159851372,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,space,5.419934700941667,space,0.40308746695518494,space,0.3525671750539914,space,0.33633383794222027,space,0.33657576597761363,space,1.0693027669331059,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,space,3.8864779570139945,space,0.9539030200103298,space,0.7862563020316884,space,1.3695278459927067,space,1.1528890930349007,space,0.8364480949239805,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,space,0.934019077103585,space,0.4029248800361529,space,0.35254737304057926,space,0.30291750002652407,space,0.28640497208107263,space,0.6354844430461526,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,3.6033251780318096,space,16.320762310991995,space,6.3868404949316755,space,7.703159363009036,space,15.534905910026282,space,1.7364180650329217,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,1.8365837500896305,space,3.2698621730087325,space,4.169480087002739,space,5.717658389941789,space,3.5362286989111453,space,1.1530029349960387,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,space,1.2197985500097275,space,2.4198148179566488,space,1.7529658910352737,space,3.8872512889793143,space,2.3864550420548767,space,3.603354962076992,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,3,0,3,0,,,,,,,,,,,,,,,,,,,,,space,0.9858193839900196,space,3.6365410550497472,space,5.387237939983606,space,3.7033858119975775,space,2.866668579983525,space,0.9702389059821144,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,4,0,4,0,,,,,,,,,,,,,,,,,,,,,space,1.2364021320827305,space,3.6035900560673326,space,0.7193151320097968,space,0.7169430820504203,space,1.5531756529817358,space,0.9339836280560121,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/matchmaker.jpg,,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,5.004012195044197,space,6.053587089991197,space,10.403415709035471,space,4.0375818280735984,space,1.8863112130202353,space,1.5535357230110094,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/matchmaker.jpg,,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.6863264199346304,space,1.3368804940255359,space,2.3868152250070125,space,5.636691555031575,space,2.23628661793191,space,0.9193811509758234,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/matchmaker.jpg,,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.8532364550046623,space,4.020194223965518,space,2.102822039043531,space,2.269862073007971,space,2.086337969987653,space,1.500744514982216,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.9196251450339332,space,1.0863782649394125,space,1.1863127599935979,space,1.4697094300063327,space,2.686406512046233,space,2.8033544970676303,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,space,0.8697074119700119,space,0.9529786600032821,space,0.9708514040103182,space,1.2506965670036152,space,1.1024818739388138,space,1.46994074806571,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/weddingplanner.jpg,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.7526709829689935,space,7.519465888035484,space,5.487248879973777,space,3.137011277023703,space,4.686394153977744,space,1.9201675580115989,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/weddingplanner.jpg,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.470641362015158,space,7.853603004943579,space,10.887128339963965,space,32.51935624505859,space,20.271179243107326,space,1.0363461419474334,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.6690920649562031,space,1.7867407000157982,space,9.92120408010669,space,6.503281202050857,space,3.5865207399474457,space,0.8358604710083455,,,061819_p1,001,2019_Jun_18_1525,part1_subjective_segmentation,3.0.4,59.98842126660673,
