count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,story_presses.keys,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight and Alvira had no idea.,1,1,None,None,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[21 22 14 31 43 44 13 32 24 12 42 11 41 23 34 33],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Location' 'Social']",None,None,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.9028887629974633,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.3011192639824003,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.31790937192272395,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.20138772204518318,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.35033284698147327,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.5862082099774852,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.16668939299415797,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.1183480559848249,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.10213336395099759,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.5687111129518598,,  ,primed first,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.5853825469966978,,  ,primed first,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.5858716220827773,,,non-primed first,,,,,,,,',001,2019_Jan_23_1526,body_behavioural,60.193636442451826,
