count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,14,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[14 32 13 23 24 42 31 41 12 33 11 21 22 44 43 34],"['Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Social']",1,1.6188591779209673,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
0,Attending a Lecture Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.167630695970729,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
1,32,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.4852607579668984,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
1,Airport Business Deal,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.06868114101234823,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
2,13,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.4012749110115692,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
2,Grocery Shopping Breakup,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.06780435796827078,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.3179622079478577,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.5521115100709721,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.5845051110954955,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.6682368960464373,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.668599986936897,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Dkjsflkdj ksjdf sldkj ,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Kajdf kljd flk ja,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
