instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.4045706350000273,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.25298437500003956,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.05282808500004421,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.0528717850000362,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.10299750999996604,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.15066779699998278,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,space,0.05295555800000784,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,space,0.16965838999999505,,,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,space,0.10319751800000176,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,space,0.1196663499999886,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,space,0.08595401799999536,,,,,,,,,,,,,,,01,001,2019_Feb_12_1244,part1_subjective_segmentation,3.0.3,59.9193586097517,
