count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[14 42 32 24 41 23 31 13 11 44 33 34 12 21 43 22],"['Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Location' 'Social']",[11 44 33 34 12 21 43 22],"['Social' 'Social' 'Social' 'Location' 'Location' 'Location' 'Location'
 'Social']",space,0.3816398619674146,space,0.8859638019930571,space,1.3859497678931803,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
0,Henry walked into lecture with Maria who was mentally rehearsing what she should say to break up with him.,1,1,14.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.25262542406562716,space,0.2859457490267232,None,,,,,,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.403676639078185,space,0.302858361043036,,,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7173721600556746,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4862397910328582,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4861546179745346,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.069863558979705,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3193297719117254,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3528469380689785,,,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
