instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2356248979922384,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.40110971801914275,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.2019591520074755,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.15120603004470468,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.184923626948148,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,space,0.08509325690101832,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,space,0.13617471104953438,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,space,0.16934706398751587,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,space,0.16886085004080087,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,space,0.1346486679976806,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,space,0.13464501593261957,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,space,0.20209896401502192,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,space,0.15162569901440293,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.20212218398228288,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.33464020397514105,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
There will be four questions to answer per story.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.5173420369392261,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.2349494049558416,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.16703421797137707,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,0.18512913794256747,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,0.1511758689302951,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,space,0.16920358105562627,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,space,0.20207577606197447,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,space,0.18579795199912041,,,,,,,,,,,,,,,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,couples.jpeg,,"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,0,0,0,7,0,0,0,0,,,,,space,0.16891780798323452,space,0.3355804930906743,space,0.21861820702906698,space,0.5364256280008703,space,0.4342191220493987,space,0.5016476000891998,,001,2018_Dec_13_1407,part1,60.00586020715023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7359363220166415,space,2.5007887390675023,space,2.9188990669790655,,,,,,,,,,,,
