instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.3861825120111462,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.13592229000641964,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
This job will be assigned to you before each story. ,None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.1349852270213887,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.1515896919881925,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
There are 8 possible jobs you could be asked to simulate.,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.1360723120160401,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
These jobs are as follows:,None,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.1171834770066198,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,space,0.10175715200603008,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,space,0.3522265779902227,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,space,0.11855300999013707,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,space,0.15217586001381278,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,space,0.06894095698953606,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,space,0.16800475100171752,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,space,0.301780484005576,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,space,0.30101439100690186,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.30208657099865377,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
There are four question per job.,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.36699883098481223,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.3344884859980084,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.3349488580133766,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.3690831979911309,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,0.38378710398683324,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,0.3025763680052478,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,dean.jpg,,"What is the lecture hall like?
","What class are the students  in and what is the day’s lecture about?
","What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,0,0,0,6,0,0,0,0,,,,,space,0.7410843960242346,space,0.783714740013238,space,0.03422835501260124,space,0.9503579289885238,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,dean.jpg,,"What is the lecture hall like?
","What class are the students  in and what is the day’s lecture about?
","What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,0,0,0,6,1,0,1,0,,,,,space,0.5355474280077033,space,0.5857818559743464,space,0.6838960379827768,space,0.6026003449806012,1,001,2018_Nov_12_1637,part1,59.86768272274166,
,,dean.jpg,,"What is the lecture hall like?
","What class are the students  in and what is the day’s lecture about?
","What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,1,001,2018_Nov_12_1637,part1,59.86768272274166,
