count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[24 32 42 11 21 14 43 33 34 22 12 41 31 13 44 23],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location']",[34 22 12 41 31 13 44 23],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location']",space,0.5027551610255614,None,space,0.919648933922872,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
0,"Lana walked into lecture holding hands with her boyfriend, Aaron, who was trying to contain his excitement about proposing to Lana in this class.",1,1,24.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.25320408504921943,space,0.40280373697169125,None,,,,,,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.685984904994257,space,0.46991244598757476,,,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6675979070132598,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6195365510648116,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5361233610892668,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6198277580551803,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2526353899156675,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3863104920601472,,,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21961511997506022,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
1,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6194129569921643,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
2,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.05078128702007234,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
3,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.05074573098681867,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
4,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.05329297203570604,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
5,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.05280695797409862,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
6,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08394484792370349,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
7,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1527549959719181,,,,,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.683364388998598,space,1.0694019390502945,,,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.46763686498161405,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.517327822977677,,,',001,2019_Jun_16_1949,body_behavioural,3.0.4,60.02491323994819,
