instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.6527873940067366,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,1.6012163330160547,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
This job will be assigned to you before each story. ,None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,1.350394528999459,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
"While reading each story, you should imagine yourself as having that job. ",None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.7531950050033629,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
There are 8 possible jobs you could be asked to simulate.,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.5686785690195393,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
These jobs are as follows:,None,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,0.550916648004204,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,business_reporter.jpg,Business Reporter,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,space,0.6353158359997906,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,dean.jpg,Dean of Academic Studies,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,space,0.8176973089866806,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,space,0.6508459119941108,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,space,0.8183007649786305,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,weddingplanner.jpg,Wedding Planner,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,space,0.451683541003149,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,matchmaker.jpg,Matchmaker,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,space,0.3344643450109288,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,space,0.485083837993443,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,couples.jpeg,"Couples Therapist
",,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,space,0.5364559470035601,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.9841000410087872,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
There are four question per job.,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.5671517250011675,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.43549658299889416,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.4681667519907933,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.5369262709864415,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.4345884949725587,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.41771085001528263,,,,,,,,,,,1,001,2018_Nov_12_1532,part1,60.101571302442075,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5344540259975474,space,0.45071315998211503,space,0.3682355239870958,space,0.4017985289974604,,,,,,
