instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.9035772750503384,,,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.420061744051054,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
There are 4 parts of the experiment. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1861596389790066,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8526747320429422,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.4010823799762875,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.853369878954254,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,26.655040887009818,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
The 4 questions for each perspective are learned with quizzes. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.587143860000651,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
2,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.786665322026238,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"In the second part of the experiment, you will read 8 short stories. ",,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.503552070003934,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.701356247998774,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.92041745496681,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,53.30430661299033,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
You must pass this quiz to move onto the story. ,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.120628460019361,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
3,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3369744480005465,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.403778089967091,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,27.433828017965425,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
4,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,48.07346314802999,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.403576957003679,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.120483686972875,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
Questions?,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,34.55593901698012,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3366811670130119,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.50358227500692,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.953647347050719,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.353386184957344,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.467627798032481,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.737772636988666,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.6365676849964075,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.804128735035192,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.584247149992734,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.036085633037146,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,7.587110947002657,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,4.553248407959472,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,25.18835679499898,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,9.184677513025235,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,7.203716519987211,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,11.90472511498956,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,3.8699382999911904,,,,,,,,,,,,,,,,,,,,,,,,,061419_p1,001,2019_Jun_14_1338,part1_subjective_segmentation,3.0.4,59.96084341433329,
