count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,from whom,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,[32 43 23 34 31 11 42 22],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location']",02202020,space,0.45245783901191317,space,0.3348590900131967,space,0.4850391899817623,,,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Jeff, hoping that today would be a pivotal day for his new business, had only been waiting inside the doors of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,1,1.7495941710076295,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Jeff, checking his watch, was pleased to see that the two of them had two hours to discuss business before their flights left Boston.",1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,9,0.018486274988390505,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,The two had met the night before in line for the bathroom at a local bar. ,1,1,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,9,0.03547174500999972,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,Jeff had delivered some surprisingly-detailed complaints to William about the wine selection.,1,1,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,1,0.06894773300155066,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,They quickly learned about each other that Jeff was a representative for wine vineyards in the Northeast and William was a wine buyer for corporate events.,1,1,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,9,0.019043556007090956,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Since they both had flights out of Boston at the same time, they had agreed to meet at the airport and talk about potentially doing business. ",1,1,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,1,0.052037268003914505,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"They headed to security together, pleased to find that the line was not so long, and they chatted a little as they were waiting. ",2,1,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,9,0.08512394901481457,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"“It’s crazy that we met last night,” William said, “I am flying out right now to meet my boss, and was worried that I was going to show up empty handed without any local retailer prepared.” ",2,1,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,9,0.0827616470050998,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"“I know, what are the chances, right?” Jeff said.",2,1,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,1,0.0523529410129413,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"William laughed and said, “I’m glad our shared complaining can come in handy.",2,1,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,9,0.0015939779987093061,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"I know this is fast, but I'd like to get right down to specifics.",2,2,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,9,0.1017649740097113,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,I'd like to order a couple of sample shipments from you and present them to our corporate buyers.,2,2,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,9,0.10094041799311526,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Typically we expect to get these kinds of samples at a deep discount, at least half-off the label price.",2,2,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,1,0.034136057016439736,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"This is nothing, okay, compared to what you will be making if one of these buyers makes a contract.",2,2,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,9,0.16920935502275825,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,So I propose that you send us $600 worth of wine shipments for a price of $300.”,2,2,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,1,0.04132536199176684,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"When it was their turn to go through the metal detector, they took off their shoes and pulled out their laptops.",2,2,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,9,0.017664248996879905,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Jeff mulled over the offer, nodding noncommittally to William's pitch as they proceeded through the metal detector and retrieved their belongings.",2,2,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,1,0.05154873599531129,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"They began to walk through the concourse, and William handed some printed spreadsheets to Jeff as they navigated toward their gates at the end of the terminal.",3,2,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,1,0.16635149100329727,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Jeff, weaving through the crowds of travelers, squinted at William's rosy projections of the number of bottles he could be able to purchase in the future.",3,2,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,9,0.18406464101281017,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Finally Jeff said, “I don’t know, we’re not coming from corporate vineyards, so gambling with sample shipments is the kind of risk we can’t necessarily make. ",3,3,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,1,0.01870159199461341,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"These corporate purchases would have to be huge and practically guaranteed, to offset the loss from selling sample shipments at this price.”",3,3,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,9,0.03487236998626031,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"They walked to the gates very slowly, barely registering the hubbub of the airport since they were so caught up in figuring out this deal before their flights left.",3,3,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,1,0.06771277100779116,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"At the end of their long walk, they got to Jeff’s gate first, which had begun boarding passengers.",3,3,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,9,0.00027121498715132475,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"In these last minutes, William and Jeff agreed on a compromise rate on the sample shipment, paying $400 for a $600 shipment, and they finalized the deal with a handshake. ",3,4,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,9,0.08384046200080775,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"“Well, what a tremendous pleasure to do business with you and to have all this work out,” William said.",3,4,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,9,0.1177127469854895,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Jeff nodded enthusiastically, and responded, “Likewise, this has been great.  ",3,4,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,9,0.13382459001149982,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,I'll let you get to your gate.,3,4,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,1,0.03392414600239135,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,"Once we’re both back on the ground, we can get all the shipments in the books.”",3,4,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,9,0.06674499699147418,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,They parted with a wave as Jeff scanned his boarding pass at the gate. ,3,4,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,1,0.06874886600417085,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,He walked onto the plane and sat down in his aisle seat in the business class section.,4,4,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,9,0.018249095999635756,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
0,He typed out a quick email on his phone letting the rest of his team know the good news. ,4,4,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,1,0.08337687799939886,',001,2019_Feb_26_1102,body_behavioural,60.01576086316237,
