Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,0,0,0,0,0,0,0,space,0.7872582889976911,space,0.15098974699503742,space,0.1685449460055679,space,0.4515394829795696,1,001,2018_Nov_09_1502,part1,59.98375604124579,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,0,0,0,1,0,1,0,space,1.9193777910259087,space,0.2509898520074785,space,0.31855125800939277,space,0.40162175201112404,1,001,2018_Nov_09_1502,part1,59.98375604124579,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,0,0,0,,,,,,,,,,,,,1,001,2018_Nov_09_1502,part1,59.98375604124579,
How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,restaurant_critic.jpg,0,1,1,1,0,0,0,0,space,0.6374263150210027,space,0.21801509999204427,space,0.3027484959748108,space,0.5686208069964778,1,001,2018_Nov_09_1502,part1,59.98375604124579,
How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,restaurant_critic.jpg,0,1,1,1,,,,,,,,,,,,,1,001,2018_Nov_09_1502,part1,59.98375604124579,
Who notices who first? Why/how?,"How does the couple start talking?
","Which of the people proposes going on an actual date? What do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,matchmaker.jpg,0,2,2,2,0,0,0,0,space,30.294706469983794,space,0.9351992669980973,space,1.402700475009624,space,1.6017179030168336,1,001,2018_Nov_09_1502,part1,59.98375604124579,
Who notices who first? Why/how?,"How does the couple start talking?
","Which of the people proposes going on an actual date? What do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,matchmaker.jpg,0,2,2,2,,,,,,,,,,,,,1,001,2018_Nov_09_1502,part1,59.98375604124579,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,3,3,3,0,0,0,0,space,0.9846736449981108,space,0.10119595500873402,space,0.48321113199926913,space,0.9857722359884065,1,001,2018_Nov_09_1502,part1,59.98375604124579,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,3,3,3,1,0,1,0,space,0.35200761500163935,space,0.3190020759939216,space,0.30252546299016103,space,0.3168135509768035,1,001,2018_Nov_09_1502,part1,59.98375604124579,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,3,3,3,,,,,,,,,,,,,1,001,2018_Nov_09_1502,part1,59.98375604124579,
"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,acem.jpg,0,4,4,4,0,0,0,0,space,1.0015949419757817,space,0.4357080310001038,space,0.33391758901416324,space,0.43454332498367876,1,001,2018_Nov_09_1502,part1,59.98375604124579,
