instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
Welcome to the Career Perspectives Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,space,1.5527542660129257,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,space,1.135339454980567,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
"Before each story you will be assigned a perspective to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,space,2.469702599046286,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,space,2.285648401011713,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,space,1.202123521012254,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,0,0,5,,,,,,,space,2.384369176987093,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,weddingplanner.jpg,Wedding Planner,,,,,0,1,1,3,,,,,,,space,1.3684635299723595,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,2,2,4,,,,,,,space,1.6359255840070546,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,matchmaker.jpg,Matchmaker,,,,,0,3,3,2,,,,,,,space,1.6009901160141453,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,dean.jpg,Dean of Academic Studies,,,,,0,4,4,6,,,,,,,space,2.270376447995659,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,5,5,1,,,,,,,space,1.7842496419907548,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,business_reporter.jpg,Business Reporter,,,,,0,6,6,0,,,,,,,space,1.6861813179566525,,001,2018_Dec_03_1601,part1,59.96782846015504,
,,couples.jpeg,"Couples Therapist
",,,,,0,7,7,7,,,,,,,space,4.769184783974197,,001,2018_Dec_03_1601,part1,59.96782846015504,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,space,6.320903512998484,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,space,8.60360180499265,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,space,2.2369867259985767,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,space,1.8173777570482343,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,space,4.885034862963948,,,,001,2018_Dec_03_1601,part1,59.96782846015504,
