count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[33 44 12 21 24 32 13 41 22 23 14 31 34 42 43 11],"['Location' 'Location' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Social']",[22 23 14 31 34 42 43 11],"['Social' 'Location' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social']",space,0.488582248000057,None,space,0.8028782699998374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
0,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2033911580001586,1,2.4509479320004175,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
0,"“Thank you again for inviting me here to discuss my business proposal,” said Ms. Bianchi, “And it’s a pleasure to be out of the office.” ",1,1,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4168693470001017,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
0,"As a salesperson for an Italian cheese company that was trying to expand its outreach to more mainstream grocery stores, this meeting could be a big break for her.",1,1,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8361345899998014,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.584456459999728,space,1.0029136600001038,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9861541830000533,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3360607929998878,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2198574969997935,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23583086799999364,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_19_1137,body_behavioural,3.0.4,60.10520502542473,
