count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,recall,participant,session,date,expName,frameRate,
0,31,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[31 14 32 13 43 44 21 22 12 33 42 34 11 24 23 41],"['Location' 'Social' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location' 'Location' 'Social' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location']",1,0.7852065589977428,,,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
0,Restaurant Business Deal,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.6198284530546516,,,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.4516946829389781,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.13505469099618495,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.10178363905288279,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.33441566303372383,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.2849286920391023,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.4687318180222064,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.33273312298115343,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,001,2019_Jan_10_1452,body_behavioural,60.00057338353571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.052548630046658,,,,,,,
