count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
0,12,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[12 23 44 32 43 24 31 11 33 13 34 22 21 42 41 14],"['Social' 'Social' 'Social' 'Location' 'Location' 'Location' 'Social'
 'Location' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Location']",1,1.2923885029740632,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
0,Airport Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.9020962549839169,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
1,23,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.35291177802719176,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
1,Grocery shopping Proposal,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.2020450480049476,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
2,44,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.318500382010825,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
2,Attending a Lecture Meet Cute,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.08539476699661463,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
3,32,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.4197424540761858,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
3,Airport Business Deal,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.08632441703230143,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
3,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
4,43,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.28516774100717157,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
4,Grocery Shopping Meet Cute,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.11871956801041961,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
4,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
5,24,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.31862850801553577,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
5,Attending a Lecture Proposal,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.452017305069603,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
5,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
6,31,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.8519169490318745,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
6,Restaurant Business Deal,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.03544697898905724,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
6,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.5345967509783804,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.2682282089954242,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.31863282597623765,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.3180125639773905,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.7022676399210468,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Jdshfjshdfjhsdkjh jfha jhf jadhf,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Jhfjksdhfsdj,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,Sjfhkjsdhfjskd,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Sjdhfjksd,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,1.0189283499494195,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.585192802012898,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Ksjdflksjd,,,space,0.6357367060845718,',001,2019_Jan_10_1454,body_behavioural,60.14878258469222,
