count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,23,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[23 34 12 11 41 42 24 33 21 32 43 14 13 22 31 44],"['Social' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Location' 'Social']",1,0.401481905952096,,,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
0,Grocery shopping Proposal,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.8339758840156719,,,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.31825423100963235,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.2852378359530121,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.15159757900983095,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.13651263900101185,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.18474379600957036,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,, djfskjfs,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Ksjfl skjf,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,, ksjfdljk fd,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Kdjslfsjkf,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,0.4019783600233495,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.21668951807077974,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,444,001,2019_Jan_15_1218,body_behavioural,59.71257520261764,
