instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,28.7569376330066,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.936387439985992,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.903785228001652,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.071067308017518,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"You’ll learn 4 questions associated with each perspective, and you should keep them in mind while reading the story while assuming that perspective. ",instructions_photos/i2.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.550347176991636,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.35341397501179,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.00347350697848,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8195110310043674,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.65355193198775,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.268014013010543,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.736244097002782,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4865476099948864,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5530312480113935,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.603168950008694,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5862456530157942,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1037776169832796,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7864275650063064,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.017481802002294,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,5.10379143699538,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,5.66820182200172,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"Then, you’ll indicate the order in which you saw the questions during the quiz by pressing the number in front of the question. ",,,,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,16.271622050990118,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,4.869893414987018,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,4.824939685000572,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,space,9.28927046697936,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/acem.jpg,,,"When the travelers arrive at the airport, how much time do they have to go through the airport?
","What do the travelers have to do at security to comply with the security check?
","How do the travelers feel when they are walking to the gates?
",Where does each traveler sit on the plane?,Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,space,2.837112374982098,space,11.53808612798457,space,6.554009201994631,space,3.7036568130133674,space,2.7366474049922545,space,1.703001341986237,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/acem.jpg,,,"When the travelers arrive at the airport, how much time do they have to go through the airport?
","What do the travelers have to do at security to comply with the security check?
","How do the travelers feel when they are walking to the gates?
",Where does each traveler sit on the plane?,Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/weddingplanner.jpg,,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,space,2.36445530000492,space,5.953401589998975,space,6.4192727059999015,space,2.6676575070014223,space,1.7865400619921274,space,1.1197973599773832,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/weddingplanner.jpg,,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,space,1.0205564799834974,space,4.986827250017086,space,4.8201996499847155,space,6.701012495002942,space,3.5055999840260483,space,1.0031604609976057,,,,,030819_p1,001,2019_Mar_08_1159,part1_subjective_segmentation,3.0.4,59.979942708049165,
