instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,space,0.285897855006624,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,0,1,1,1,,,,,,,,,space,0.30222740198951215,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
This job will be assigned to you before each story. ,None,,,0,2,2,2,,,,,,,,,space,0.26841290399897844,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
"While reading each story, you should imagine yourself as having that job. ",None,,,0,3,3,3,,,,,,,,,space,0.30113333597546443,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
There are 8 possible jobs you could be asked to simulate.,None,,,0,4,4,4,,,,,,,,,space,0.5354758320027031,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
These jobs are as follows:,None,,,0,5,5,5,,,,,,,,,space,0.33441468700766563,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,0,0,4,,,,,,,space,0.3886923560057767,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,weddingplanner.jpg,Wedding Planner,,,,,0,1,1,3,,,,,,,space,0.30177213600836694,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,couples.jpeg,"Couples Therapist
",,,,,0,2,2,7,,,,,,,space,0.45181756900274195,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,matchmaker.jpg,Matchmaker,,,,,0,3,3,2,,,,,,,space,0.35229855199577287,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,dean.jpg,Dean of Academic Studies,,,,,0,4,4,6,,,,,,,space,0.4001040250004735,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,5,5,5,,,,,,,space,0.5010521470103413,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,6,6,1,,,,,,,space,0.5685756260063499,,001,2018_Nov_12_1642,part1,59.94047898957441,
,,business_reporter.jpg,Business Reporter,,,,,0,7,7,0,,,,,,,space,0.5017497320077382,,001,2018_Nov_12_1642,part1,59.94047898957441,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,space,0.6848238490056247,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
There are four question per job.,None,,,,,,,,,,,0,1,1,1,space,0.43539703098940663,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,0,2,2,2,space,0.5186319930071477,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,0,3,3,3,space,2.436159434990259,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,0,4,4,4,space,1.5530576729797758,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,0,5,5,5,space,1.351650293014245,,,,001,2018_Nov_12_1642,part1,59.94047898957441,
