count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[12 31 21 44 42 33 14 23 32 34 41 13 43 22 24 11],"['Social' 'Social' 'Location' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Social']",space,0.438976621000009,space,2.201761176000005,,,,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,1.136665910000005,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.8010323140000111,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.7180336280000006,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.40235076599999786,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.43488723299999776,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,space,1.9854978640000098,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,space,0.8503756120000219,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,space,0.35152869500001316,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,space,0.35772897199998965,,,,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,primed first,,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,non-primed first,  ,,,,,,,',001,2019_Feb_05_1207,body_behavioural,60.01653599606138,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primed first,,,,,,,,,,,,,
