instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.43898837198503315,,,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.2682352520059794,,,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.13477281399536878,,,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.1361947760451585,,,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.2842517989920452,,,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,space,0.6849134350195527,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,space,0.1683817320736125,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,space,0.3360477900132537,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,space,0.3023505760356784,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,space,0.5519170990446582,,,,,,,,,,,,,,001,2018_Dec_13_1400,part1,59.97337816628134,
