count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[21 43 13 14 44 32 31 22 23 24 41 42 33 34 12 11],"['Location' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Location']",[23 24 41 42 33 34 12 11],"['Social' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location']",space,0.21892582497093827,None,space,0.4862658579368144,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
0,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1.0,1.0,None,None,21.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.019671333953738213,space,0.45233832800295204,None,,,,,,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8761018340010196,space,0.23601219605188817,,,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6522826799191535,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5358015290694311,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16946987493429333,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11940119892824441,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13665231002960354,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
,,,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16995411494281143,,,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8860701969824731,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
1,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16944547998718917,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
2,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11725589691195637,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
3,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08642701909411699,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
4,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10295795695856214,,,,,,,,,',001,2019_Jun_16_1951,body_behavioural,3.0.4,60.03118738276673,
