instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,4.086990501033142,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,22.641434304998256,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,42.94831734604668,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.45221881999168545,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.1181145339505747,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,space,0.09969978395383805,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,business_reporter.jpg,Business Reporter,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,space,0.10073439695406705,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,couples.jpeg,"Couples Therapist
",,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,space,0.38534020504448563,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,weddingplanner.jpg,Wedding Planner,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,space,0.3031916330801323,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,space,0.135014794068411,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,dean.jpg,Dean of Academic Studies,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,space,0.33495769498404115,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,space,0.11809482099488378,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,matchmaker.jpg,Matchmaker,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,space,0.2838802139740437,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.10146672604605556,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.8847662169719115,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.10138698597438633,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.119047348969616,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.11870575905777514,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.08549478801432997,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.15246952907182276,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,space,0.13381571602076292,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,space,0.1014150680275634,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,space,0.1505973730236292,,,,,,,,,,,,,,, ,001,2018_Dec_13_1417,part1,60.018179624074754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10225961892865598,space,0.08580251794774085,space,0.21749664400704205,space,0.0844731479883194,space,0.11842238798271865,space,0.16825960704591125,,,,,,
