instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.26978526497259736,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.11724044196307659,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.13598382903728634,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.1186075439909473,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.10074729903135449,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,space,0.06797607196494937,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,space,0.13481608498841524,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,space,0.11861652403604239,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,space,0.13399300491437316,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,space,0.1357594890287146,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,space,0.45098164898809046,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,space,0.15040842001326382,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,space,0.33501470601186156,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.4526810860261321,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.3176494059152901,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
There will be four questions to answer per story.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.10249382792972028,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.10157644294667989,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.3180326409637928,,,,,,,,,,,,,,,,001,2018_Dec_13_1404,part1,60.10582101509088,
