count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[34 41 11 12 42 23 33 24 21 13 22 31 44 43 14 32],"['Social' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Location' 'Location' 'Location' 'Social'
 'Social' 'Social']",[21 13 22 31 44 43 14 32],"['Social' 'Location' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social']",space,1.8864748350001719,None,space,1.0866338650002945,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
0,Charlie saw Alma as they walked into class and he motioned for her to come sit in the back next to him: they had business to discuss.,1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9296958360000644,space,0.31922642500012444,,,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5865531170002214,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30285607999985587,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31671159699999407,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3363370769998255,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3532346079996387,,,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.36869729299996834, fdlskf;lsk,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
