instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10319869999997877,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08669368700000746,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10300781000000825,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
You must pass this quiz to move onto the story. ,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1203267280000091,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
3,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10424377499998627,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1197112370000184,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10337474500002486,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
4,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11984034200000337,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11996956199999431,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1354901340000083,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
Questions?,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.12064733799999772,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11915048000000183,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10309222800000839,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08392423000000804,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.07034655999999018,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3030934699999932,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2865215399999954,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2527750419999961,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2370120219999876,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.25051625400001853,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2374112299999922,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.2357547029999978,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.27028546299999334,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.11975712500000668,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.1031615150000107,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.1169507999999837,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,space,0.10336072300000865,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,space,0.11955840300001341,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/dean.jpg,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment/assignment in class and when is it scheduled/due?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.0707423199999937,space,0.702367344999999,space,0.7705811239999889,space,0.4198456500000134,space,0.4031932700000027,space,0.6369295689999888,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,jobphotos/dean.jpg,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment/assignment in class and when is it scheduled/due?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1553,part1_subjective_segmentation,3.0.4,60.03905720788382,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6195479059999798,,,,,,,
