instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.27111046004574746,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.40257315401686355,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
There are 4 parts of the experiment. ,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.26912588195409626,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36974408000241965,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3029128200141713,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2522099990164861,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15252485102973878,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
The 4 questions for each perspective are learned with quizzes. ,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1356404809630476,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
2,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13608564296737313,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"In the second part of the experiment, you will read 8 short stories. ",,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10312512895325199,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13675408298149705,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08405212801881135,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.25299546297173947,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
You must pass this quiz to move onto the story. ,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13589822099311277,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11961884901393205,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11974891199497506,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3031455380260013,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
4,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10338275198591873,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3203198469709605,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16939706803532317,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
Questions?,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30335244798334315,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
Let's begin Part 1! ,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3203508490114473,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33634949603583664,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5193771899794228,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8526557430159301,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.636347278021276,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6689924609963782,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.136569334019441,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5030274259625003,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6864173400099389,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6523527380195446,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,0.736461587017402,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,space,0.31933850096538663,,,,,,,,,,,,,,,',001,2019_Jun_13_1212,part1_subjective_segmentation,3.0.4,59.99201936641498,
