instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.404664337998838,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"In this task, you first be introduced to the perspectives of 8 different careers. ",None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.005337637998309,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"Then, you will learn 4 questions associated with each perspective. ",None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,15.338988076000533,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"Subsequently, you will thoroughly read 16 stories while assuming one of those 8 perspectives. ",None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.271060261999082,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"While reading, try to remember the questions of the perspective you have assumed. ",None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.170715213000221,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"After, you will be asked to answer these questions about the stories you have read. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6352460190009879,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
The 8 perspectives are as follows:,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.067770374000247,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8350966229991172,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8019301450003695,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2345189179995941,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
