count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[11 33 21 42 32 43 14 24 23 41 12 31 22 34 44 13],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Social']",[23 41 12 31 22 34 44 13],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social']",space,0.287887922999289,space,0.3028375400008372,space,0.3338143619985203,,,,,,,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
0,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1,1,None,None,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7738711340007285,space,0.43640967500141414,,,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.3693693040004291,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.3190188179996767,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.28602106400103366,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.30252093499984767,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.30253895799978636,,,',001,2019_Feb_13_1249,body_behavioural,3.0.3,59.98555619799398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31973900699995284,,,,,,,
