count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,participant,session,date,expName,frameRate,
0,32,,0,0,0,0,0,0,0,0,,,,,,,,,[32 44 13 42 34 23 11 21 43 24 31 12 33 14 41 22],"['Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Social']",1,1.3192400198895484,,,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
0,Airport Business Deal,,0,0,0,0,0,1,1,1,,,,,,,,,,,1,0.2676381909986958,,,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,0.6853967839851975,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,0.18455333495512605,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,0.15273941599298269,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,0.3856185059994459,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,1.0526444219285622,,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Kjlk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,Jk;,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,Kj,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,Kjk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,Kjk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,Jkjk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
6,,,,,,,,,,,,,,,0,6,6,6,,,,,,,Kjkj,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
7,,,,,,,,,,,,,,,0,7,7,7,,,,,,,Kjksdjfk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
8,,,,,,,,,,,,,,,0,8,8,8,,,,,,,Kjsdfk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
9,,,,,,,,,,,,,,,0,9,9,9,,,,,,,Kjsdflk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
10,,,,,,,,,,,,,,,0,10,10,10,,,,,,,Kjdfslk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
11,,,,,,,,,,,,,,,0,11,11,11,,,,,,,Kjsdfkl,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
12,,,,,,,,,,,,,,,0,12,12,12,,,,,,,Kjsdlfk,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
13,,,,,,,,,,,,,,,0,13,13,13,,,,,,,Kjsdfkl,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
14,,,,,,,,,,,,,,,0,14,14,14,,,,,,,Kjksdf,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
15,,,,,,,,,,,,,,,0,15,15,15,,,,,,,Jkdlsf,,001,2019_Jan_10_1441,body_behavioural,60.03793793335974,
