instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2211578830028884,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.15099284099414945,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
This job will be assigned to you before each story. ,None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.08507120600552298,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,1.8367219189822208,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
There are 8 possible jobs you could be asked to simulate.,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.1673181910009589,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
These jobs are as follows:,None,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.15160831902176142,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,space,0.15054987999610603,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,space,0.1906183749961201,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,space,0.3339129420055542,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,space,0.16821777302538976,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,space,0.1351224920072127,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,space,0.050715314981061965,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,space,0.1338429670140613,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,space,0.15250884598935954,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.15243002100032754,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
There are four question per job.,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.18488005601102486,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.2851395290053915,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.16889575999812223,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.1691547480004374,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,0.15279751899652183,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,0.15202210302231833,,,,,,,,,,,1,001,2018_Nov_12_1632,part1,60.03252081810584,
,,weddingplanner.jpg,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,space,0.47001292699133046,space,0.31760696100536734,space,0.5344710349745583,space,0.3527047850075178,1,001,2018_Nov_12_1632,part1,60.03252081810584,
