instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.43328909299998486,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.46694973800003936,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.6358014879988332,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.6839820630011673,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.3855109349988197,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,0.3200789120000991,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,space,0.7030988019996585,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
Let’s begin! The 8 perspectives are as follows:,None,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,space,0.6030756069994823,,,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,space,2.067433415000778,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,space,1.9196197270011908,,,,,,,,,,,,,,,',001,2019_Feb_13_1157,part1_subjective_segmentation,3.0.3,60.176941751721714,
