instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
Welcome to the Career Perspectives Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,space,0.9527143050218001,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,space,1.0682021580287255,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
"Before each story you will be assigned a perspective to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,space,25.277813106018584,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,space,9.475540723011363,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,space,0.9029420879669487,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,business_reporter.jpg,Business Reporter,,,,,0,0,0,0,,,,,,,space,2.31907783303177,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,1,1,5,,,,,,,space,0.7346489509800449,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,dean.jpg,Dean of Academic Studies,,,,,0,2,2,6,,,,,,,space,1.1414828689885326,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,3,3,4,,,,,,,space,0.8018417789717205,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,couples.jpeg,"Couples Therapist
",,,,,0,4,4,7,,,,,,,space,0.5684714250382967,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,5,5,1,,,,,,,space,0.6189450270030648,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,weddingplanner.jpg,Wedding Planner,,,,,0,6,6,3,,,,,,,space,0.7185884200152941,,001,2018_Dec_03_1606,part1,59.96943382156589,
,,matchmaker.jpg,Matchmaker,,,,,0,7,7,2,,,,,,,space,0.8410099890315905,,001,2018_Dec_03_1606,part1,59.96943382156589,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,space,3.419280756963417,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,space,2.7030962290009484,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,space,2.884898525022436,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,space,5.520337097987067,,,,001,2018_Dec_03_1606,part1,59.96943382156589,
