instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,0,0,0,0,,,,,,,,,space,4.721258887000658,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,0,1,1,1,,,,,,,,,space,159.94743259999814,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,0,2,2,2,,,,,,,,,space,80.36053596200145,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,0,3,3,3,,,,,,,,,space,107.35831595200216,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,0,4,4,4,,,,,,,,,space,1.651081964999321,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,0,5,5,5,,,,,,,,,space,53.506733488000464,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,0,6,6,6,,,,,,,,,space,16.695438685001136,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
Let’s begin! The 8 perspectives are as follows:,None,,,,0,7,7,7,,,,,,,,,space,1.2017033280026226,,,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,0,0,0,,,,,,,space,0.46769578299790737,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,0,1,1,2,,,,,,,space,0.403491794000729,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,0,2,2,6,,,,,,,space,0.4028749680001056,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,3,3,1,,,,,,,space,0.3705799199997273,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,4,4,7,,,,,,,space,0.35215846299979603,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,0,5,5,3,,,,,,,space,0.3710164399999485,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,0,6,6,4,,,,,,,space,0.33661915499760653,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,7,7,5,,,,,,,space,0.31735831200057874,,,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
Each of these perspectives will be applied to one story. ,,,,(press space to continue),,,,,,,,,0,0,0,0,,,,,space,1.502439959000185,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"Each perspective has 4 questions, and you will answer these questions about each story.",,,,None,,,,,,,,,0,1,1,1,,,,,space,1.1832506749997265,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
You’ll answer these questions about each story after reading all 8 stories. ,,,,None,,,,,,,,,0,2,2,2,,,,,space,0.9846392970030138,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
You’ll learn these questions with a series of pre-task quizzes and then the story reading will begin.,,,,None,,,,,,,,,0,3,3,3,,,,,space,0.9023301749984967,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
"Once the story-reading task has begun, remember your answers to the questions for each story.",,,,None,,,,,,,,,0,4,4,4,,,,,space,0.5537530520014116,',001,2019_Feb_13_1253,part1_subjective_segmentation,3.0.3,60.13366764217437,
