count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[33 13 12 21 44 24 32 41 11 31 34 43 22 23 14 42],"['Location' 'Social' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Location']",space,0.5497318479465321,None,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,0.5504422900266945,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,space,0.16689993697218597,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,space,0.10112208500504494,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,space,0.33387815102469176,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,space,0.43404471199028194,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,Kdjslfdkjsk ,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,Sdkfj lsd,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
2,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
3,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,space,1.1679810850182548,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,space,0.38506277499254793,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,space,0.4017918580211699,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,space,0.36826429702341557,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.6026905849575996,Skdjflskjdf ,non-primed first,Sfkdj ksdjlf,Kjldsj,Ksejflk,Jsdfkfljkj,Kdjfslkd,Klsdjf,,',001,2019_Jan_23_1524,body_behavioural,59.97428312481524,
