count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[44 24 12 31 32 11 43 23 14 34 41 21 13 22 42 33],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",[14 34 41 21 13 22 42 33],"['Social' 'Location' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Social']",space,5.387671028000113,None,space,1.2195791579997604,,,,,,,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.6847401619997981,,,,,,,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
0,"Leon and  Ariana hurried into the classroom at the same time, and Leon did a double-take when he saw her. ",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82435647300008,space,0.6526973220006766,,,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,space,1.1192757339995296,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,space,1.2526832389994524,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,space,0.5670229949992063,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,space,0.43604389500069374,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,space,0.46934438300013426,,,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.6692977869988681,,,,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.896751786000095,space,2.002820026000336,,,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.3531612280003174,H,001,2019_Feb_13_1248,body_behavioural,3.0.3,59.983466757164855,
