count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,[12 14 44 23 31 33 42 21 24 22 34 43 11 13 32 41],"['Social' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Location']",[24 22 34 43 11 13 32 41],"['Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location']",space,1.1873887049987388,space,0.5688187610012392,space,0.6859061689992814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6693780199984758,space,1.1361790680002741,space,0.6525750199998583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
1,"Maria walked into lecture beside Henry, and she was mentally rehearsing what she should say to break up with him.",1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.831390565999754,space,2.1528306049985986,,,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5195520680008485,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3023869900007412,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23624091100100486,,,,,,,,,,,,,,,,,,,,,,,GERBIL,001,2019_Feb_13_1225,body_behavioural,3.0.3,59.78489407036287,
