instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9358247499912977,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6666553849936463,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5525996179785579,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4005666299490258,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35244359797798097,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36972250998951495,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4031318000052124,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4027204550220631,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4369543400243856,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.0199780149850994,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3845238200156018,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
"Then, you’ll indicate the order in which you saw the questions during the quiz by pressing the number in front of the question. ",,,,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.48744718701345846,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4359815919888206,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41926912299823016,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5839309799484909,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do they step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.8860221449867822,space,4.78756672795862,space,4.736784032022115,space,26.255251700000372,space,9.853423174994532,space,2.3864409549860284,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do they step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/dean.jpg,,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment in class and when is it due/scheduled?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,0,1,1,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.5531184679712169,space,0.5030199600150809,space,0.4694621230009943,space,0.41857733798678964,space,2.3706765020033345,space,1.0029655729886144,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/dean.jpg,,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment in class and when is it due/scheduled?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,0,1,1,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.4696528479689732,space,0.16997176496079192,space,0.13636449998011813,space,0.13594649796141312,space,0.15324760699877515,space,0.5196748799644411,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/dean.jpg,,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment in class and when is it due/scheduled?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.6028987530153245,space,1.5698896679678,space,3.3032691549742594,space,1.1864675300312229,space,3.986222350038588,space,1.2863751130062155,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/business_reporter.jpg,,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.6863413449609652,space,2.0859987630392425,space,5.452581681020092,space,5.220768016006332,space,6.919762250036001,space,1.7862931349663995,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/business_reporter.jpg,,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/weddingplanner.jpg,,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,0,4,4,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.4532820100430399,space,1.6506926179863513,space,2.836658312997315,space,1.7031919800210744,space,3.4027218599803746,space,2.1860413029789925,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/weddingplanner.jpg,,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/matchmaker.jpg,,,What object is the initiator holding when he first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meet and for what occasion?,"What time is it when they part?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,0,5,5,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.7530627700034529,space,226.85285496001597,space,9.053030073991977,space,23.87146141997073,space,2.785308865015395,space,13.620974489022046,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/matchmaker.jpg,,,What object is the initiator holding when he first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meet and for what occasion?,"What time is it when they part?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/acem.jpg,,,"When the clients arrive at the airport, how much time do they have until their flight departs?
","What do the clients have to do to comply with security before being scanned in the metal detector?
","Toward which gate are the clients walking?
",In what section and seat does each client sit on the plane?,Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,0,6,6,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.6361266350140795,space,7.603496362979058,space,7.251164923014585,space,6.9029599489877,space,9.56934057699982,space,0.8198360399692319,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/acem.jpg,,,"When the clients arrive at the airport, how much time do they have until their flight departs?
","What do the clients have to do to comply with security before being scanned in the metal detector?
","Toward which gate are the clients walking?
",In what section and seat does each client sit on the plane?,Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/couples.jpeg,,,For how long has the initiator of the break up been thinking about breaking up with their partner?,"What is the initial reason stated by the initiator for why they are breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that they do or do not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.5528072799788788,space,28.80476628500037,space,8.78695754497312,space,10.80359803501051,space,1.1197398700169288,space,0.4507202400127426,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/couples.jpeg,,,For how long has the initiator of the break up been thinking about breaking up with their partner?,"What is the initial reason stated by the initiator for why they are breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that they do or do not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/business_reporter.jpg,,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4031315600150265,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,jobphotos/business_reporter.jpg,,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,Good job! You’ve finished the pre-task quizzes. Please notify the researcher that you have finished. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,40.57006384199485,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,You are about to begin the main task of reading the stories. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,33.338565109996125,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"The stories will presented to you sentence by sentence, so you’ll read each sentence in the story individually. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,101.58351626095828,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"Before reading each story, you’ll be assigned a perspective and then given a quiz like the ones you just took for that perspective.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,51.22616267303238,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"When you’ve finished the quiz, you’ll begin reading the story, sentence by sentence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,118.8781910300022,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"While reading the stories, you will additionally have to make a judgement about each sentence in order to advance to the next sentence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,81.64179434801918,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,Some people feel that the stories have natural “parts”: we want you to make a judgement about when you think the story has transitioned from one “part” to another. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,18.70414185797563,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,You will press “9” if you think the sentence you are reading has begun a new “part” of the story. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,space,16.937672432977706,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"For example, you should press “9” at the beginning of a story and when you think a different “part” is beginning. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,space,20.8713631950086,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,You will press “1” if you think the sentence is in the same “part” as the sentence before. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,space,13.568213113001548,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,There are no “right” answers- we just want to see what you think these transitions are. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,space,22.37108030996751,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,When you press “1” or “9” you will advance to the next sentence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,space,1.9864240000024438,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"You will not be able to go back to previous sentences, or change the judgement you made about a sentence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,space,35.87198612495558,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,"Please use both index fingers during the story reading, with one resting on the “1” and the other on the “9.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,space,5.353574601991568,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,Do you have any questions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,space,2.3698129350086674,,,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.187214804987889,',001,2019_Jun_10_1306,part1_subjective_segmentation,3.0.4,59.99213131906261,
