count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[11 34 42 33 41 23 12 24 22 44 13 21 14 43 31 32],"['Social' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location']",space,0.4390922709999927,space,1.2673970710000049,,,,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
0,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1.0,1.0,None,None,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,,,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.7691318509999974,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,1.2679127319999566,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.48519028099997286,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.8351688179999996,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.4509555550000073,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,space,1.4353610719999779,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,space,1.1850093710000351,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,space,0.4016141889999858,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,space,0.3346273430000224,',001,2019_Feb_05_1211,body_behavioural,59.92929038913452,
