instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.437867763000213,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.05400551799993991,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.2695532819998334,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,1.2195927079992543,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.4031279580003684,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,0.25266026300050726,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,space,0.12018616200020915,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
Let’s begin! The 8 perspectives are as follows:,None,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,space,0.6363490550002098,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,space,0.35279653500037966,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,space,0.45076385799984564,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,space,0.46977824799978407,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,space,0.5198700999999346,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,space,0.46998673300004157,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,space,0.3864346399996066,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,space,0.369751234999967,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,space,0.36799863200030813,,,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
Each of these perspectives will be applied to one story. ,,,,(press space to continue),,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.7196285049994913,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"Each perspective has 4 questions, and you will answer these questions about each story.",,,,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.3672866150000118,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
You’ll answer these questions about each story after reading all 8 stories. ,,,,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.3363185769994743,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
You’ll learn these questions with a series of pre-task quizzes and then the story reading will begin.,,,,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.30298207200030447,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
"Once the story-reading task has begun, remember your answers to the questions for each story.",,,,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.267301480000242,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
Press the space bar to begin learning the perspectives and the questions for each one.,,,,None,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,space,0.25298585800010187,,,,,,,,,,,,,',001,2019_Feb_12_1548,part1_subjective_segmentation,3.0.3,60.14834265455757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5030046499996388,space,0.3696820799996203,space,0.23619988999962516,space,0.170084475999829,space,0.1506887599998663,space,0.4034672480001973,,,,,,,
