instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,space,0.28592552800000703,,,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,space,0.25292957999954524,,,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,space,0.2694578320006258,,,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,space,0.2857482520012127,,,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,space,0.31994333699913113,,,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,space,0.26868622499932826,,,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
Each of these perspectives will be applied to one story. ,,,,(press space to continue),,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.5677302399999462,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
"Each perspective has 4 questions, and you will answer these questions about each story.",,,,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.35307084300075076,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
You’ll answer these questions about each story after reading all 8 stories. ,,,,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.3202084750009817,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
You’ll learn these questions with a series of pre-task quizzes and then the story reading will begin.,,,,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.28594159800013585,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
"Once the story-reading task has begun, remember your answers to the questions for each story.",,,,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.2526971950010193,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
Press the space bar to begin learning the perspectives and the questions for each one.,,,,None,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,space,0.23561970199989446,,,',001,2019_Feb_13_1205,part1_subjective_segmentation,3.0.3,59.74656927332912,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.50296696300029,,,,,,,
