instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5039177379999842,,,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08513056399999641,,,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10122324100001379,,,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08485813300001155,,,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10217834200000198,,,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,space,0.0017462590000150158,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,space,0.05796100899999601,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,space,0.2509260879999715,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,space,0.07167546800002356,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,space,0.08449609400003055,,,,,,,,,,,,,,,',001,2019_Jan_24_1557,part1_subjective_segmentation,60.23802924732588,
