count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,[31 22 44 43 14 13 32 21 12 41 33 42 24 23 34 11],"['Location' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Social' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Location']",[12 41 33 42 24 23 34 11],"['Social' 'Social' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Location']",space,0.33857657300001165,space,0.7698741419999919,space,0.5027260920000458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
0,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.25073468200002935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9862742049999724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5710734699999875,space,0.7195904179999957,,,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.284048275000032,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35293718299999455,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3194726629999991,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3027446419999933,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3530218249999848,,,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4364643750000141,J,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9841501729999891,Jj,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
2,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.069692723000003,,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
3,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.0865579179999827,J,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
